Roll No,Name,Semester,Department
25BCS001,Aarav Sharma,1,CSE
25BCS002,Aditya Patel,1,CSE
25BCS003,Akshay Yadav,1,CSE
25BCS004,Aman Khan,1,CSE
25BCS005,Aniket Agarwal,1,CSE
25BCS006,Arjun Bansal,1,CSE
25BCS007,Ayush Chopra,1,CSE
25BCS008,Dhruv Saxena,1,CSE
25BCS009,Gaurav Pandey,1,CSE
25BCS010,Harsh Menon,1,CSE
25BCS011,Ishaan Narayan,1,CSE
25BCS012,Karan Nair,1,CSE
25BCS013,Krishna Das,1,CSE
25BCS014,Manish Chatterjee,1,CSE
25BCS015,Nikhil Singh,1,CSE
25BCS016,Pranav Verma,1,CSE
25BCS017,Rahul Reddy,1,CSE
25BCS018,Rohan Malhotra,1,CSE
25BCS019,Sahil Jain,1,CSE
25BCS020,Siddharth Kapoor,1,CSE
25BCS021,Vikram Bhatia,1,CSE
25BCS022,Yash Mishra,1,CSE
25BCS023,Abhishek Nair,1,CSE
25BCS024,Ankit Rao,1,CSE
25BCS025,Deepak Pillai,1,CSE
25BCS026,Gopal Kumar,1,CSE
25BCS027,Himanshu Banerjee,1,CSE
25BCS028,Jay Kumar,1,CSE
25BCS029,Kunal Gupta,1,CSE
25BCS030,Laksh Shah,1,CSE
25BCS031,Mohit Joshi,1,CSE
25BCS032,Neeraj Mehta,1,CSE
25BCS033,Omkar Goyal,1,CSE
25BCS034,Piyush Arora,1,CSE
25BCS035,Ravi Tiwari,1,CSE
25BCS036,Sagar Dubey,1,CSE
25BCS037,Tarun Iyer,1,CSE
25BCS038,Utkarsh Krishnan,1,CSE
25BCS039,Varun Menon,1,CSE
25BCS040,Yuvraj Bose,1,CSE
25BCS041,Aarav Sharma,1,CSE
25BCS042,Aditya Patel,1,CSE
25BCS043,Akshay Yadav,1,CSE
25BCS044,Aman Khan,1,CSE
25BCS045,Aniket Agarwal,1,CSE
25BCS046,Arjun Bansal,1,CSE
25BCS047,Ayush Chopra,1,CSE
25BCS048,Dhruv Saxena,1,CSE
25BCS049,Gaurav Pandey,1,CSE
25BCS050,Harsh Menon,1,CSE
25BCS051,Ishaan Narayan,1,CSE
25BCS052,Karan Nair,1,CSE
25BCS053,Krishna Das,1,CSE
25BCS054,Manish Chatterjee,1,CSE
25BCS055,Nikhil Singh,1,CSE
25BCS056,Pranav Verma,1,CSE
25BCS057,Rahul Reddy,1,CSE
25BCS058,Rohan Malhotra,1,CSE
25BCS059,Sahil Jain,1,CSE
25BCS060,Siddharth Kapoor,1,CSE
25BCS061,Vikram Bhatia,1,CSE
25BCS062,Yash Mishra,1,CSE
25BCS063,Abhishek Nair,1,CSE
25BCS064,Ankit Rao,1,CSE
25BCS065,Deepak Pillai,1,CSE
25BCS066,Gopal Kumar,1,CSE
25BCS067,Himanshu Banerjee,1,CSE
25BCS068,Jay Kumar,1,CSE
25BCS069,Kunal Gupta,1,CSE
25BCS070,Laksh Shah,1,CSE
25BCS071,Mohit Joshi,1,CSE
25BCS072,Neeraj Mehta,1,CSE
25BCS073,Omkar Goyal,1,CSE
25BCS074,Piyush Arora,1,CSE
25BCS075,Ravi Tiwari,1,CSE
25BCS076,Sagar Dubey,1,CSE
25BCS077,Tarun Iyer,1,CSE
